fecha,provincia,confirmados,muertes,recuperados
2020-MM-DD,Buenos Aires,0,0,0
2020-MM-DD,Catamarca,0,0,0
2020-MM-DD,Chaco,0,0,0
2020-MM-DD,Chubut,0,0,0
2020-MM-DD,Ciudad Autónoma de Buenos Aire,0,0,0
2020-MM-DD,Córdoba,0,0,0
2020-MM-DD,Corrientes,0,0,0
2020-MM-DD,Entre Ríos,0,0,0
2020-MM-DD,Formosa,0,0,0
2020-MM-DD,Jujuy,0,0,0
2020-MM-DD,La Pampa,0,0,0
2020-MM-DD,La Rioja,0,0,0
2020-MM-DD,Mendoza,0,0,0
2020-MM-DD,Misiones,0,0,0
2020-MM-DD,Neuquén,0,0,0
2020-MM-DD,Rio Negro,0,0,0
2020-MM-DD,Salta,0,0,0
2020-MM-DD,San Juan,0,0,0
2020-MM-DD,San Luis,0,0,0
2020-MM-DD,Santa Cruz,0,0,0
2020-MM-DD,Santa Fe,0,0,0
2020-MM-DD,Santiago del Estero,0,0,0
2020-MM-DD,Tierra del Fuego,0,0,0
2020-MM-DD,Tucumán,0,0,0
