fecha,provincia,confirmados,muertes,recuperados
2020-03-08,Buenos Aires,1,0,0
2020-03-08,Catamarca,0,0,0
2020-03-08,Chaco,0,0,0
2020-03-08,Chubut,0,0,0
2020-03-08,Ciudad Autónoma de Buenos Aire,2,0,0
2020-03-08,Córdoba,0,0,0
2020-03-08,Corrientes,0,0,0
2020-03-08,Entre Ríos,0,0,0
2020-03-08,Formosa,0,0,0
2020-03-08,Jujuy,0,0,0
2020-03-08,La Pampa,0,0,0
2020-03-08,La Rioja,0,0,0
2020-03-08,Mendoza,0,0,0
2020-03-08,Misiones,0,0,0
2020-03-08,Neuquén,0,0,0
2020-03-08,Rio Negro,0,0,0
2020-03-08,Salta,0,0,0
2020-03-08,San Juan,0,0,0
2020-03-08,San Luis,0,0,0
2020-03-08,Santa Cruz,0,0,0
2020-03-08,Santa Fe,0,0,0
2020-03-08,Santiago del Estero,0,0,0
2020-03-08,Tierra del Fuego,0,0,0
2020-03-08,Tucumán,0,0,0
