fecha,provincia,confirmados,muertes,recuperados
2020-03-03,Argentina_Nacion,1,0,0
2020-03-04,Argentina_Nacion,0,0,0
2020-03-05,Argentina_Nacion,0,0,0
2020-03-06,Argentina_Nacion,1,0,0
2020-03-07,Argentina_Nacion,7,0,0
2020-03-08,Argentina_Nacion,3,0,0
2020-03-09,Argentina_Nacion,5,1,0
2020-03-10,Argentina_Nacion,2,0,0
2020-03-11,Argentina_Nacion,2,0,0
2020-03-12,Argentina_Nacion,10,0,0
2020-03-13,Argentina_Nacion,3,1,0
2020-03-14,Argentina_Nacion,11,0,0
2020-03-15,Argentina_Nacion,11,0,0
2020-03-16,Argentina_Nacion,9,0,0
2020-03-17,Argentina_Nacion,13,0,0
2020-03-18,Argentina_Nacion,19,1,18
2020-03-19,Argentina_Nacion,31,0,5
2020-03-20,Argentina_Nacion,30,0,8
2020-03-21,Argentina_Nacion,67,1,10
2020-03-22,Argentina_Nacion,41,0,10
2020-03-23,Argentina_Nacion,35,0,1
2020-03-24,Argentina_Nacion,84,2,11
2020-03-25,Argentina_Nacion,117,2,9
2020-03-26,Argentina_Nacion,87,4,3
2020-03-27,Argentina_Nacion,101,5,5
2020-03-28,Argentina_Nacion,55,2,0
